author,awards,bookFormat,bookName,description,isbn,noOfPages,noOfReviews,publisher,rating,votes
Patrick Rothfuss,"ALA Alex Award (2008),The Quill Award for Science Fiction/Fantasy/Horror (2007),Sakura Medal for High School Book (2009),Tähtifantasia Award Nominee (2011)",Hardcover,The Name of the Wind,"Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen. The intimate narrative of his childhood in a troupe of traveling players, his years spent as a near-feral orphan in a crime-ridden city, his daringly brazen yet successful bid to enter a legendary scTold in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen. The intimate narrative of his childhood in a troupe of traveling players, his years spent as a near-feral orphan in a crime-ridden city, his daringly brazen yet successful bid to enter a legendary school of magic, and his life as a fugitive after the murder of a king form a gripping coming-of-age story unrivaled in recent literature. A high-action story written with a poet's hand,  is a masterpiece that will transport readers into the body and mind of a wizard.",075640407X,662 pages,"32,584"," 
            Published
        April 2007
         by Penguin Group DAW",4.55,"526,722"
Brandon Sanderson,,ebook,Warbreaker,"This is the story of two sisters, who happen to be princesses. Theirs is a world in which those who die in glory return as gods to live confined to a pantheon in Hallandren's capital city. A world transformed by a power based on an essence known as breath. Using magic is arduous as breath can only be collected one unit at a time.",English,688 pages,"5,426","  
            Published
        2009
         by Self-published",4.24,"77,019"
Jasper Fforde,"Locus Award Nominee for Best Science Fiction Novel (2002),IAFA William L. Crawford Fantasy Award (2002),Dilys Award Nominee (2003),ALA Alex Award (2003),Lincoln Award Nominee (2006)",Paperback,The Eyre Affair,"Suspenseful and outlandish, absorbing and fun - a novel unlike any other and an introduction to the imagination of a most distinctive writer and his singular fictional universe.Great Britain circa 1985: time travel is routine, cloning is a reality (dodos are the resurrected pet of choice), and literature is taken very, very seriously. Baconians are trying to convince the wSuspenseful and outlandish, absorbing and fun - a novel unlike any other and an introduction to the imagination of a most distinctive writer and his singular fictional universe.Great Britain circa 1985: time travel is routine, cloning is a reality (dodos are the resurrected pet of choice), and literature is taken very, very seriously. Baconians are trying to convince the world that Francis Bacon really wrote Shakespeare, there are riots between the Surrealists and Impressionists, and thousands of men are named John Milton, an homage to the real Milton and a very confusing situation for the police. Amidst all this, Acheron Hades, Third Most Wanted Man In the World, steals the original manuscript of Martin Chuzzlewit and kills a minor character, who then disappears from every volume of the novel ever printed! But that's just a prelude . . .Hades' real target is the beloved Jane Eyre, and it's not long before he plucks her from the pages of Bronte's novel. Enter Thursday Next. She's the Special Operative's renowned literary detective, and she drives a Porsche. With the help of her uncle Mycroft's Prose Portal, Thursday enters the novel to rescue Jane Eyre from this heinous act of literary homicide. It's tricky business, all these interlopers running about Thornfield, and deceptions run rampant as their paths cross with Jane, Rochester, and Miss Fairfax. Can Thursday save Jane Eyre and Bronte's masterpiece? And what of the Crimean War? Will it ever end? And what about those annoying black holes that pop up now and again, sucking things into time-space voids . . .Suspenseful and outlandish, absorbing and fun, The Eyre Affair is a caper unlike any other and an introduction to the imagination of a most distinctive writer and his singular fictional universe.",0142001805,374 pages,"9,104"," 
            Published
        February 25th 2003
         by Penguin Books",3.91,"100,546"
Brent Weeks,"Endeavour Award Nominee (2011),Goodreads Choice Award Nominee for Fantasy (2010)",Hardcover,The Black Prism,"Guile is the Prism, the most powerful man in the world. He is high priest and emperor, a man whose power, wit, and charm are all that preserves a tenuous peace. Yet Prisms never last, and Guile knows exactly how long he has left to live.When Guile discovers he has a son, born in a far kingdom after the war that put him in power, he must decide how much he's willing to payGuile is the Prism, the most powerful man in the world. He is high priest and emperor, a man whose power, wit, and charm are all that preserves a tenuous peace. Yet Prisms never last, and Guile knows exactly how long he has left to live.When Guile discovers he has a son, born in a far kingdom after the war that put him in power, he must decide how much he's willing to pay to protect a secret that could tear his world apart.",0316075558,629 pages,"3,472"," 
            Published
        August 25th 2010
         by Orbit",4.24,"74,409"
Steven Erikson,,Mass Market Paperback,Memories of Ice,"The ravaged continent of Genabackis is a terrifying new empire, the Pannion Domin, that devours all. An uneasy allliance resists: Onearm's army, Whiskeyjack's Bridgeburners and former enemies - forces of Warlord Caladan Brood, Anomander Rake and his Tiste Andii mages, and the Rhivi people of the plains. And the Crippled God intends revenge.",0765348802,920 pages,"1,229"," 
            Published
        August 2006
         by Tor Fantasy",4.39,"36,969"
Jim Butcher,,Mass Market Paperback,Storm Front,"Harry Dresden is the best at what he does. Well, technically, he's the  at what he does. So when the Chicago P.D. has a case that transcends mortal creativity or capability, they come to him for answers. For thHarry Dresden is the best at what he does. Well, technically, he's the  at what he does. So when the Chicago P.D. has a case that transcends mortal creativity or capability, they come to him for answers. For the ""everyday"" world is actually full of strange and magical things—and most don't play well with humans. That's where Harry comes in. Takes a wizard to catch a—well, whatever. There's just one problem. Business, to put it mildly, stinks.So when the police bring him in to consult on a grisly double murder committed with black magic, Harry's seeing dollar signs. But where there's black magic, there's a black mage behind it. And now that mage knows Harry's name. And that's when things start to get interesting.Magic - it can get a guy killed.",0451457811,322 pages,"13,108","  
            Published
        April 2000
         by Penguin ROC",4.02,"239,102"
Jim Butcher,Goodreads Choice Award Nominee for Paranormal Fantasy (2010),Hardcover,Changes,"Long ago, Susan Rodriguez was Harry Dresden's lover-until she was attacked by his enemies, leaving her torn between her own humanity and the bloodlust of the vampiric Red Court. Susan then disappeared to South America, where she could fight both her savage gift and those who cursed her with it. Now Arianna Ortega, Duchess of the Red Court, has discovered a secret Susan hasLong ago, Susan Rodriguez was Harry Dresden's lover-until she was attacked by his enemies, leaving her torn between her own humanity and the bloodlust of the vampiric Red Court. Susan then disappeared to South America, where she could fight both her savage gift and those who cursed her with it. Now Arianna Ortega, Duchess of the Red Court, has discovered a secret Susan has long kept, and she plans to use it-against Harry. To prevail this time, he may have no choice but to embrace the raging fury of his own untapped dark power. Because Harry's not fighting to save the world... He's fighting to save his child.",045146317X,438 pages,"3,493","  
            Published
        April 6th 2010
         by Roc",4.54,"79,428"
George R.R. Martin,"Hugo Award Nominee for Best Novel (2012),Locus Award for Best Fantasy Novel (2012),World Fantasy Award Nominee for Best Novel (2012),SFX Award for Best Novel (2012),Goodreads Choice Award for Best Fantasy (2011)",Mass Market Paperback,A Dance with Dragons,"In the aftermath of a colossal battle, the future of the Seven Kingdoms hangs in the balance—beset by newly emerging threats from every direction. In the east, Daenerys Targaryen, the last scion of House Targaryen, rules with her three dragons as queen of a city built on dust and death. But Daenerys has thousands of enemies, and many have set out to find her. As they gatheIn the aftermath of a colossal battle, the future of the Seven Kingdoms hangs in the balance—beset by newly emerging threats from every direction. In the east, Daenerys Targaryen, the last scion of House Targaryen, rules with her three dragons as queen of a city built on dust and death. But Daenerys has thousands of enemies, and many have set out to find her. As they gather, one young man embarks upon his own quest for the queen, with an entirely different goal in mind.Fleeing from Westeros with a price on his head, Tyrion Lannister, too, is making his way to Daenerys. But his newest allies in this quest are not the rag-tag band they seem, and at their heart lies one who could undo Daenerys’s claim to Westeros forever.Meanwhile, to the north lies the mammoth Wall of ice and stone—a structure only as strong as those guarding it. There, Jon Snow, 998th Lord Commander of the Night’s Watch, will face his greatest challenge. For he has powerful foes not only within the Watch but also beyond, in the land of the creatures of ice.From all corners, bitter conflicts reignite, intimate betrayals are perpetrated, and a grand cast of outlaws and priests, soldiers and skinchangers, nobles and slaves, will face seemingly insurmountable obstacles. Some will fail, others will grow in the strength of darkness. But in a time of rising restlessness, the tides of destiny and politics will lead inevitably to the greatest dance of all.",0553582011,1113 pages,"20,801"," 
            Published
        October 29th 2013
         by Bantam",4.32,"462,643"
Robin Hobb,,Mass Market Paperback,Fool's Errand,"For fifteen years FitzChivalry Farseer has lived in self-imposed exile, assumed to be dead by almost all who once cared about him. But now, into his isolated life, visitors begin to arrive: Fitz’s mentor from his assassin days; a hedge-witch who foresees the return of a long-lost love; and the Fool, the former White Prophet, who beckons Fitz to fulfill his destiny.Then comFor fifteen years FitzChivalry Farseer has lived in self-imposed exile, assumed to be dead by almost all who once cared about him. But now, into his isolated life, visitors begin to arrive: Fitz’s mentor from his assassin days; a hedge-witch who foresees the return of a long-lost love; and the Fool, the former White Prophet, who beckons Fitz to fulfill his destiny.Then comes the summons he cannot ignore. Prince Dutiful, the young heir to the Farseer throne, has vanished. Fitz, possessed of magical skills both royal and profane, is the only one who can retrieve him in time for his betrothal ceremony, thus sparing the Six Duchies profound political embarrassment . . . or worse. But even Fitz does not suspect the web of treachery that awaits him—or how his loyalties will be tested to the breaking point.",0006486010,661 pages,"1,536"," 
            Published
        2002
         by Voyager",4.3,"62,170"
Erin Morgenstern,"Locus Award for Best First Novel (2012),Orange Prize Nominee for Fiction Longlist (2012),Guardian First Book Award Nominee for Longlist (2011),Mythopoeic Fantasy Award Nominee for Adult Literature (2012),ALA Alex Award (2012)",Hardcover,The Night Circus,"The circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des Rêves, and it is only open at night. But behind the scenes, a fierce competition is underway—a duel between two young magicThe circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des Rêves, and it is only open at night. But behind the scenes, a fierce competition is underway—a duel between two young magicians, Celia and Marco, who have been trained since childhood expressly for this purpose by their mercurial instructors. Unbeknownst to them, this is a game in which only one can be left standing, and the circus is but the stage for a remarkable battle of imagination and will. Despite themselves, however, Celia and Marco tumble headfirst into love—a deep, magical love that makes the lights flicker and the room grow warm whenever they so much as brush hands. True love or not, the game must play out, and the fates of everyone involved, from the cast of extraordinary circus performers to the patrons, hang in the balance, suspended as precariously as the daring acrobats overhead. Written in rich, seductive prose, this spell-casting novel is a feast for the senses and the heart.",0385534639,387 pages,"58,918","  
            Published
        September 13th 2011
         by Doubleday",4.04,"523,886"
